MESA,UNE,SEMILLA,NULOS,BLANCO
1,10,52,28,124
2,8,69,21,0
37,10,81,23,0
38,17,71,19,1
39,9,66,24,1
40,10,80,25,--
41,6,90,20,0
42,11,68,18,2
43,11,83,18,--
44,11,63,40,1
45,13,72,24,0
46,5,68,33,0
47,13,61,29,2
48,14,71,26,0
49,19,61,23,0
50,18,64,23,4
51,10,71,24,1
52,18,70,22,2
53,16,67,22,1
54,12,64,40,1
55,16,69,22,2
56,9,70,24,0
57,10,63,20,1
58,10,70,31,1
59,12,63,27,2
60,12,85,23,0
61,17,60,25,0
62,17,66,30,0
63,12,71,21,0
64,19,85,23,0
65,10,99,25,2
66,8,77,23,0
67,13,95,18,0
68,4,146,2,--
69,7,168,6,--
70,0,177,12,0
71,7,180,10,0
72,5,134,14,--
73,6,80,10,0
134,24,51,24,1
135,19,72,12,0
136,28,61,16,1
137,21,63,20,1
138,14,55,20,2
139,14,57,11,0
140,22,67,13,1
141,19,77,15,1
142,25,62,21,2
143,25,60,20,1
144,27,44,15,1
145,23,45,22,0
146,23,57,18,2
147,19,67,12,0
148,11,64,22,5
149,12,113,16,2
150,6,108,11,0
151,9,78,11,0
152,6,59,5,0
153,4,53,9,0
154,10,74,29,0
155,10,98,22,1
156,9,98,25,1
157,13,70,28,0
158,14,61,20,0
159,14,63,26,0
160,11,83,12,0
161,8,98,10,0
162,10,81,25,--
163,4,95,23,1
164,11,93,24,3
165,8,97,33,0
166,--,--,--,--
167,11,72,22,0
168,11,84,21,1
169,7,97,23,0
170,11,82,22,0
171,17,87,19,0
172,12,97,24,0
173,13,81,14,0
174,5,149,10,0
175,7,138,9,0
176,2,82,9,0
177,4,92,6,0
178,10,76,16,0
179,9,87,23,2
180,9,105,22,1
181,18,103,20,0
182,10,74,23,0
183,8,127,23,0
184,12,88,28,1
185,12,103,17,1
186,5,149,8,0
187,5,108,12,0
188,26,87,28,1
189,25,60,30,1
190,28,69,25,0
191,29,69,21,1
192,30,66,33,1
193,21,79,27,2
194,17,70,24,1
241,22,67,17,1
242,15,72,17,0
243,11,88,15,0
244,5,129,15,0
245,7,134,10,0
246,4,164,14,0
247,6,109,14,1
248,7,68,14,--
249,11,92,15,1
250,6,63,5,--
251,3,39,5,1
252,53,47,30,0
253,26,54,18,0
254,30,55,24,3
255,24,61,8,0
256,11,87,5,0
257,8,49,17,0
258,16,63,27,3
259,16,75,27,0
260,11,56,23,1
261,10,71,16,0
262,7,49,9,0
263,9,82,27,1
264,9,62,51,0
265,14,55,32,1
266,9,71,29,3
267,15,78,25,0
268,12,51,20,0
269,--,--,--,--
270,13,73,30,2
271,9,116,19,1
272,10,71,30,0
273,9,85,30,0
274,11,86,21,1
275,8,78,27,1
276,8,79,18,0
277,11,79,32,1
278,16,86,34,0
279,10,72,32,1
280,13,95,28,0
281,14,87,27,1
282,16,65,30,0
283,12,84,27,0
284,14,71,17,0
285,15,81,22,1
286,7,126,21,0
287,3,156,13,1
288,6,143,18,0
289,8,76,14,0
290,6,72,8,0
344,12,73,33,0
345,17,58,17,2
346,13,117,17,0
347,6,132,7,0
348,4,103,16,0
349,13,79,33,1
350,8,69,25,1
351,6,75,27,0
352,15,78,27,1
353,20,76,32,2
354,8,96,17,0
355,12,115,18,0
356,12,75,25,1
357,8,72,30,1
358,5,81,22,0
359,17,86,24,0
360,12,82,35,1
361,11,87,22,0
362,16,75,18,1
363,13,113,21,0
364,8,131,4,0
365,4,160,8,0
366,4,69,5,0
367,1,56,8,0
368,14,59,28,0
369,17,89,18,2
370,17,63,25,1
371,16,64,30,1
372,16,72,35,0
373,5,55,30,2
374,8,87,14,0
375,3,51,9,0
376,22,47,28,4
377,27,59,35,0
378,21,57,34,0
379,24,54,27,3
380,20,73,18,2
381,30,61,24,1
382,21,59,24,1
383,19,72,26,1
384,21,73,31,0
385,30,60,38,0
386,29,66,24,0
387,18,69,17,4
388,9,104,13,0
389,6,58,15,0
390,7,73,7,2
391,25,53,26,0
392,23,46,38,3
393,26,47,15,0
394,25,58,36,0
395,31,64,39,2
396,28,58,34,1
397,21,50,30,2
398,30,62,32,1
399,31,62,26,1
400,20,67,32,1
401,17,72,30,0
402,32,46,31,1
403,14,72,39,5
404,18,66,29,--
405,24,66,32,2
406,29,48,22,0
407,20,58,34,1
408,28,62,24,3
409,21,61,34,1
410,26,64,24,5
411,37,46,35,3
412,22,49,38,4
413,23,56,35,1
414,23,45,26,1
415,27,50,26,3
416,18,52,27,1
417,22,73,26,0
418,14,89,14,1
419,11,139,14,0
